Pos,GSM1545164,GSM1545165,GSM1545166,GSM1545167,GSM1471896,GSM1471897,GSM1471898,GSM1471900,GSM1471901,GSM1471903,GSM1471905,GSM1471907,GSM1471908,GSM1471909,GSM1471910,GSM1471911,GSM1471912,GSM1471904,GSM1471902,GSM1471906,GSM1471899
155,0.1964956195244055,0.10421764790557077,0.033785150718187336,0.045161290322580636,0.07024057024057025,0.07020691304867839,0.13204598727536554,0.177956101014869,0.19409470752089136,0.16384268614954142,0.1250851305334847,0.009822389666307859,0.2256587024270469,0.22531441352253145,0.20936227951153324,0.157704473565296,0.20601700457815567,0.08990435706695005,0.12626053322282085,0.016335540838852098,0.13998578824484822
170,0.19263315082130414,0.10111317254174396,0.053285256410256415,0.07089838750959816,0.09665043529585364,0.08586038767986681,0.16711140760507004,0.19613389910419607,0.19451675436167268,0.156003098373354,0.06993006993006994,0.019860440150295224,0.22289412765153305,0.22421129860601613,0.2621189740835236,0.15211521152115212,0.1990438939591482,0.04526226734348562,0.10553871589969688,0.02941606907654032,0.1763115738886664
205,0.1269482151835093,0.06999855970041767,0.055498668851116116,0.06795366795366796,0.0844924533885765,0.0730424387328153,0.112786152987158,0.1424786221847525,0.13807367656101516,0.11278545906478173,0.04825555052106933,0.019399164758184026,0.187368626875886,0.1858046327339226,0.22178988326848248,0.14893617021276595,0.1927288655278143,0.02622601279317697,0.07788075805782266,0.027504044712457716,0.13200887454618798
221,0.12540513587634006,0.054589683050726194,0.03780414236879148,0.06055940467025917,0.07407407407407407,0.06549958318447065,0.10315250083546842,0.11334120425029515,0.11130212954747117,0.08312655086848635,0.04297670210359647,0.011022986960612985,0.15233578373251128,0.1495854063018242,0.17124591947769313,0.11868231046931407,0.1531413612565445,0.01865197117422637,0.04499033949765388,0.01611721611721612,0.0992687568867074
230,0.056053811659192834,0.021114622234989944,0.014463640016070709,0.027720739219712527,0.037283621837549935,0.037350835322195707,0.06324729020002234,0.06752449533703223,0.064684344835238,0.0413300186451212,0.02996594778660613,0.0033701806416823947,0.11344597472667894,0.11536199926497613,0.11514987115149873,0.0666062528318985,0.09625082218811663,0.009596928982725529,0.01716975906950983,0.004563521271897542,0.05475880052151239
239,0.12537239324726912,0.048098194533647325,0.015996800639872025,0.032736572890025566,0.050457362053703166,0.05400904116107543,0.08655022805651352,0.10871613663133098,0.12855404358889258,0.08679479231246125,0.06453068592057762,0.0033534540576794104,0.16145021951564933,0.16221863773003886,0.16369007654088896,0.10436347278452543,0.1380134753314497,0.03152771900126957,0.0505579280892685,0.0032201405152224825,0.08459154084591541
248,0.1541708043694141,0.0596876559937246,0.014794082367053181,0.035285093326514964,0.05766961651917405,0.059089287837355835,0.09875444839857653,0.13719476229798278,0.15174473262179947,0.1115068917453926,0.06857658470561696,0.0044259656652360525,0.1857830642877372,0.1848702536285002,0.16905943915201932,0.1111111111111111,0.15837497284379753,0.039746300211416494,0.05345088855214217,0.005707595492463047,0.0925907409259074
256,0.15739821251241312,0.07246273446972397,0.0256,0.04652351738241309,0.0631082276614568,0.056962777975978124,0.09995552590615966,0.1325556733828208,0.14804778232496404,0.1096994112178494,0.0739404869251578,0.007913090128755365,0.1785697427425065,0.1780766693542476,0.17935293327963486,0.06831460674157304,0.06976744186046513,0.052019454430112085,0.07118270687043922,0.01243417203042715,0.1019
273,0.2109004739336493,0.09193954659949624,0.0643611911623439,0.06955530216647662,0.11438474870017333,0.09225700164744646,0.15581854043392504,0.2311912225705329,0.20562645011600927,0.14705882352941174,0.1018898931799507,0.010204081632653059,0.2503945291951604,0.2905852417302799,0.33016476552598223,0.11619718309859155,0.1597315436241611,0.06286127167630058,0.07516580692704496,0.01509433962264151,0.17814009661835747
318,0.41350710900473936,0.2179245283018868,0.07590132827324478,0.07596371882086167,0.11714039621016364,0.11977030352748155,0.2316753926701571,0.4119028974158183,0.4276220745449292,0.2687687687687688,0.22140522875816995,0.013778100072516316,0.3724113724113724,0.4271894093686354,0.4175548589341693,0.13074204946996468,0.170355466130114,0.21608040201005024,0.20631424375917767,0.023186237845923708,0.30359281437125746
